wkt_geom,Address,City,province,Country,result_num,osm_id,display_na,category,type,latlong
Point (-79.37483210000000611 43.64889289999999988),47 COLBORNE ST,Toronto,ON,Canada,0,8418290677,"Moissanites by Livia, 47, Colborne Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1E3, Canada",office,jewelry,"43.6488929,-79.3748321"
Point (-79.35596800000000428 43.65288060000000314),465 FRONT ST E,Toronto,ON,Canada,0,4364172556,"Running Room, 465, Front Street East, Canary District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 0J2, Canada",shop,sports,"43.6528806,-79.355968"
Point (-79.40184299999999951 43.66827500000000128),465 HURON ST,Toronto,ON,Canada,0,4036609134,"465, Huron Street, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 2R3, Canada",place,house,"43.668275,-79.401843"
Point (-79.25987324545454271 43.78952939090908814),4630 SHEPPARD AVE E,Toronto,ON,Canada,0,75968937,"4630, Sheppard Avenue East, Scarborough North, Scarborough, Toronto, Golden Horseshoe, Ontario, M1S 3E5, Canada",place,house,"43.78952939090909,-79.25987324545454"
Point (-79.51984131999557803 43.7696425999999974),4645 JANE ST,Toronto,ON,Canada,0,659973777,"4645, Jane Street, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3N 2S6, Canada",building,apartments,"43.7696426,-79.51984131999558"
Point (-79.30152150000000688 43.82483179999999834),4675 STEELES AVE E,Toronto,ON,Canada,0,896765731,"4675, Steeles Avenue East, Milliken, Scarborough, Toronto, York Region, Golden Horseshoe, Ontario, M1V 4S5, Canada",place,house,"43.8248318,-79.3015215"
Point (-79.41223088823529963 43.70394213529412042),468 EGLINTON AVE W,Toronto,ON,Canada,0,66260326,"468, Eglinton Avenue West, Eglinton Way, Eglinton—Lawrence, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5N 1B1, Canada",place,house,"43.70394213529412,-79.4122308882353"
Point (-79.17515400000000625 43.77632959999999684),4662 KINGSTON RD,Toronto,ON,Canada,0,35345562,"4662 Kingston Road, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1E 2P9, Canada",highway,service,"43.7763296,-79.175154"
Point (-79.51999369434804521 43.77017000000000024),4673 JANE ST,Toronto,ON,Canada,0,659973778,"4673, Jane Street, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3N 2S6, Canada",building,apartments,"43.77017,-79.51999369434805"
Point (-79.41235346470588752 43.70391720588235529),472 EGLINTON AVE W,Toronto,ON,Canada,0,66260326,"472, Eglinton Avenue West, Eglinton Way, Eglinton—Lawrence, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5N 1B1, Canada",place,house,"43.703917205882355,-79.41235346470589"
Point (-79.39997660000000224 43.64561290000000326),473 ADELAIDE ST W,Toronto,ON,Canada,0,5575082561,"UNIUN, 473, Adelaide Street West, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2J6, Canada",amenity,bar,"43.6456129,-79.3999766"
Point (-79.49380340000000444 43.7732157000000015),4700 KEELE ST,Toronto,ON,Canada,0,898012430,"4700, Keele Street, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3J 3T8, Canada",place,house,"43.7732157,-79.4938034"
Point (-79.39797699999999736 43.64752500000000168),471 RICHMOND ST W,Toronto,ON,Canada,0,4036639789,"471, Richmond Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2L4, Canada",place,house,"43.647525,-79.397977"
Point (-79.36599170588235097 43.65282705882352587),474 ADELAIDE ST E,Toronto,ON,Canada,0,401029324,"474, Adelaide Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1N7, Canada",place,house,"43.652827058823526,-79.36599170588235"
Point (-79.4091982999999999 43.6563416999999987),474 COLLEGE ST,Toronto,ON,Canada,0,5720505421,"College Medical Pharmacy, 474, College Street, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1A4, Canada",amenity,pharmacy,"43.6563417,-79.4091983"
Point (-79.35280849999999475 43.66897790000000157),473 BROADVIEW AVE,Toronto,ON,Canada,0,804607492,"473, Broadview Avenue, Riverdale, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 2B5, Canada",place,house,"43.6689779,-79.3528085"
Point (-79.39760130000000515 43.6483458000000013),473 QUEEN ST W,Toronto,ON,Canada,0,6419730377,"Leo's Textiles, 473, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada",shop,fabric,"43.6483458,-79.3976013"
Point (-79.41907392000000243 43.64529961000000213),47 OSSINGTON AVE,Toronto,ON,Canada,0,66232310,"47, Ossington Avenue, Ossington, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z2, Canada",place,house,"43.64529961,-79.41907392"
Point (-79.40024020909091007 43.71062343636364034),47 ROSELAWN AVE,Toronto,ON,Canada,0,66259903,"47, Roselawn Avenue, Yonge & Eglinton, Eglinton—Lawrence, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2H5, Canada",place,house,"43.71062343636364,-79.40024020909091"
Point (-79.16696770000000072 43.80348860000000144),47 GENERATION BLVD,Toronto,ON,Canada,0,35346664,"47 Generation Boulevard, Rouge, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 2K5, Canada",highway,service,"43.8034886,-79.1669677"
Point (-79.37851100000000315 43.67040899999999937),47 HUNTLEY ST,Toronto,ON,Canada,0,4035049503,"47, Huntley Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2Y5, Canada",place,house,"43.670409,-79.378511"
Point (-79.50200434999999288 43.76305184999999653),470 SENTINEL RD,Toronto,ON,Canada,0,32024840,"470, Sentinel Road, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3J 1V6, Canada",building,apartments,"43.76305185,-79.50200434999999"
